cap,void_id,ra,dec,dist,reff,reff_uncert,edge
NGC,98,190.59427273251606,-4.876569388902281,616.852250948242,24.58739186095202,0.0929127271289061,0
NGC,99,229.8599722509192,3.266587775483364,575.7920293881266,24.0222362883886,0.08492942559493262,0
NGC,100,250.48414597263326,0.7628719844846292,383.59389413930774,22.30766094150797,0.08977447980744895,1
NGC,101,103.43415256896367,68.3388524306311,456.80950525497155,24.58290268038977,0.08973609752927247,1
NGC,102,211.53979221469066,3.8551279108944843,590.4070068632117,23.16121604572326,0.08888803446482946,1
NGC,103,215.95494450096564,38.88852600118919,310.4531054230566,23.95264049289517,0.08336914495303663,1
NGC,104,236.6573169973198,-0.9682799607013942,522.7962123052789,22.6656750294709,0.08507894575297818,1
NGC,105,209.62723580176203,-2.934576800363858,460.1201930450878,22.581179033416205,0.07679136852345445,1
NGC,106,254.9155614920973,7.959284522185685,473.7987151749595,25.03650260788077,0.09486015230952723,0
NGC,107,262.42472610678516,20.643203012857608,664.3875153001014,22.338918625712584,0.07761237363229724,1
NGC,108,225.41389035761583,-0.27198051664773604,551.4229411223607,23.464748772530957,0.08294180872952336,0
NGC,109,232.59280724620965,-0.7246801362411316,545.6186225978963,24.26883479811843,0.09010553901623389,1
NGC,110,255.13164655215417,8.071557761611338,571.821241300577,23.995676301770136,0.08570886660540716,0
NGC,111,216.06477061494326,34.556672800539516,579.0008863826552,24.05055370449028,0.09611001168816609,1
NGC,112,218.08964157763467,44.03033013381356,547.1256606873274,22.914958189085823,0.0866456039692547,1
NGC,113,97.59360686134521,62.06777805295086,598.4951993335341,18.43991746219821,0.061098692977788534,1
NGC,114,151.2540927834438,-4.98760431901603,559.2424627723577,23.92933694454024,0.08101864095100278,1
NGC,115,223.87233576515175,36.21721551951891,601.7008687131922,24.422625970113685,0.08587851193482293,0
NGC,116,238.421030240278,9.06949196589966,591.8758766261343,23.141065950315287,0.09376814919286218,0
NGC,117,231.7935320120285,5.466579087628152,576.2210836543853,24.481365151458565,0.08983545538766245,0
NGC,118,244.40316594086102,3.5859465080486443,369.72324253379566,24.625829027680837,0.09251170694743105,0
NGC,119,229.86228451319846,5.686945742531156,478.4562589466136,22.92083386522272,0.0851178903985099,1
NGC,120,259.87020389115037,9.141982826568656,481.68100011974224,20.571103532847864,0.0723207024578753,1
NGC,121,128.67207142979268,-5.251601966025225,446.8126246573461,20.746308073860334,0.07814341824315717,1
NGC,122,216.41883672276788,46.4840538610965,461.0463548561967,22.997822804117106,0.08451087397208405,1
NGC,123,207.17637374106525,6.880969619771909,547.0910651533858,24.370155318818966,0.08518007900861409,0
NGC,124,212.61859036187914,1.7622869808349726,600.5461651782891,23.294472511966664,0.08522175004113454,0
NGC,125,194.49829499242495,5.172114239916602,424.1015006005988,21.84005674674388,0.07252407206271148,1
NGC,126,234.59993273531373,5.542174530443845,463.9057563630094,23.12812086998261,0.07920414228489647,0
NGC,127,172.6423182642129,-5.846786101879547,610.9603782679862,23.208585922138887,0.08318125299641596,0
NGC,128,220.8736372596104,44.734861987943276,606.5334824519897,23.355836137184994,0.0838437727578283,1
NGC,129,217.75093649370496,-3.310143076925442,453.5327334959881,23.689867222849138,0.0838552731029349,1
NGC,130,232.32681775606778,37.26084090657501,513.850883989212,22.617602573251393,0.07733191534942183,1
NGC,131,100.08956256312372,69.67399602550188,654.3932081220277,21.34255830366764,0.08035663503390438,1
NGC,132,172.8274474996118,0.6679232884632144,470.7993416713173,24.1897821596594,0.08941332337506801,0
NGC,133,253.26629291196804,13.848220887712094,655.3661629944818,21.722763247357527,0.0738278437455882,1
NGC,134,230.41359320999945,-0.7527374957866715,470.93020195570233,22.648510705186307,0.08577746966234989,1
NGC,135,220.85691699409838,33.84649415649321,654.7425966820281,23.573397499688827,0.08294222126073444,1
NGC,136,217.41030017612778,46.91333741846448,647.91003316466,20.574014466110317,0.07626385357486455,1
NGC,137,226.6128009487456,33.20363256510666,492.90775147854134,23.656433051865896,0.08104582641951218,1
NGC,138,-88.40538718123894,34.42258489857885,632.3732362047812,24.58602191690696,0.0857281534194874,0
NGC,139,230.76033502211484,34.90712544101929,623.4246617462246,23.239246970732367,0.09131201467501358,0
NGC,140,262.6226673411972,13.924520906596872,543.7963567958312,23.37693923973328,0.0803773784674728,1
NGC,141,269.51579115035275,27.966160100181828,657.2906910276262,23.42093770852147,0.08328706776575726,1
NGC,142,-88.43640665511975,28.84021104574404,615.361098867718,21.00348920499839,0.07763574553487064,1
NGC,143,205.2484748295845,-0.7959668019730403,562.9075719980945,24.1070608030195,0.08830139622392166,0
NGC,144,128.63646529774172,-2.6436956226403243,562.6390943751143,23.962130585815203,0.08160175457735709,1
NGC,145,-67.51050849073798,66.9101245886736,447.92170566865144,19.992293727580304,0.06521674948181516,1
NGC,146,218.556243365851,39.5207251731696,158.7693911473301,20.769630919479617,0.07725424466204796,1
NGC,147,205.97937445218028,6.482663398352043,453.07733114954175,23.217394502655722,0.07459384070985768,1
NGC,148,265.2519144109894,16.53010703537597,431.02746408224726,23.02291346188252,0.08485977037390206,1
NGC,149,221.95192740995958,0.7575923960782587,644.4047028688336,23.304764106350152,0.08381200774885274,0
NGC,150,121.80042088773831,9.63710565601829,621.4412570113082,23.86012586288879,0.08520757675602172,1
NGC,151,140.69029396515128,-6.320435707541881,415.0282070809878,22.656702523967613,0.07919111248240314,1
NGC,152,130.72232241096174,1.489422333624008,654.0539824180215,23.45123749225053,0.08276108152231493,1
NGC,153,142.49694336971544,-3.841925809063671,625.3078559503567,23.344959320719457,0.08948362835833062,0
NGC,154,159.9211734228236,-0.35078319601721875,489.00695202800955,23.757917427169062,0.08739220919439504,0
NGC,155,136.38071054633758,-7.030911734463401,637.5338916291901,21.3473352926022,0.08980238168292068,1
NGC,156,258.4613508100275,10.217352007867467,272.6202434496914,21.749523124005517,0.07937727397132902,1
NGC,157,109.96257391407237,36.19131947788604,315.2908829110983,19.708241901915265,0.06863741297707693,1
NGC,158,255.5843641169634,5.034663632177415,404.87254007250704,20.66440493092742,0.07851806686106749,1
NGC,159,247.1725347293749,4.821392145004953,556.0262115669711,23.83445184651904,0.07826525556598345,0
NGC,160,250.84951173120444,3.4408061545095054,487.9547226284097,23.943358593606522,0.08636888627584834,0
NGC,161,256.66725475166743,14.609450969929263,567.3087472665021,21.66815347808163,0.07903248445226828,1
NGC,162,137.75623264952398,0.12159665594731238,514.9625952934434,22.948253404978015,0.08463586624001158,0
NGC,163,190.56016944235384,-4.999357844172752,645.1728858673625,24.033076152947622,0.086222925749938,0
NGC,164,265.61955213225446,29.88039946254393,244.81127251078556,21.93505427026661,0.0818373077222723,1
NGC,165,219.93243379416316,40.46348971994905,348.30124920156663,22.28643221700982,0.07729054218803931,0
NGC,166,137.30770577812754,-2.1006690514908444,663.0269676231607,22.283353325647667,0.08675150437048917,1
NGC,167,163.61802280886178,-0.10430995987983525,656.4973798353635,23.131852614211088,0.08075470976192202,1
NGC,168,165.72517185472213,-8.174712088996001,494.69172823170555,19.726811856991883,0.06989732310285944,1
NGC,169,199.81941704097204,1.8956336865227148,485.78306521102223,22.953277309465133,0.08577509008465377,0
