cap,void_id,ra,dec,z,reff,tot_area,edge_area
NGC,763,192.77893071693254,-4.975515355545819,0.08037344688464586,14.480590380387824,10359.941160632778,3463.4047383774137
NGC,764,188.73304820217368,-3.6932593420351525,0.16746381782764144,13.443641306766981,5875.97700080366,1242.8644058510015
NGC,765,195.39353487500165,-8.00646016810169,0.1683610115472198,10.514148493977665,3944.5178598353946,1051.058196061555
NGC,766,195.25972447477068,4.343582848658304,0.2199785764051937,24.725437514292583,27405.23456709415,6160.025118457298
NGC,767,125.30276197295368,2.6651204752709243,0.14457028587137052,12.383875162502195,5159.867471197883,1279.6730735849076
NGC,768,221.00536369665514,43.07671087536299,0.2109422749901044,32.521684343004154,53566.593944732595,10111.126135445136
NGC,769,208.88989806910382,3.6562045054846526,0.1970928665467433,14.911415915242944,6336.705452416198,0.0
NGC,770,246.90434566671308,2.787461280641881,0.2325056827447947,20.85059135866729,17902.299061325113,3767.9212084191395
NGC,771,248.17191891291753,9.686150445082133,0.1891382790709289,15.026592572419519,7810.867238377235,1653.0546907899395
NGC,772,240.90411937015966,3.748620913081432,0.1015124769670319,12.40144026447075,4483.869870333262,435.4807568739526
NGC,773,251.95270393709936,9.821689903779173,0.0659308965205918,34.710281460898415,91735.50315513383,31302.604075948166
NGC,774,264.8884015581927,23.18505112345354,0.22176238917224278,11.124280741036856,3337.078666352522,3.6482295402728906
NGC,775,239.5474204525525,5.215261904456387,0.20847319205140868,14.193307583450716,5445.453728576537,0.0
NGC,776,176.3465772092551,0.12405874203898713,0.12983021578434376,17.74716856283052,11787.413610031414,1977.5647430516772
NGC,777,196.61783333611967,-3.7213972805652444,0.2053130037962482,13.524288473123873,5307.410378286627,1.9922993171683563
NGC,778,220.9341315662651,2.3951435165962986,0.1784576710042629,11.762467276469888,4293.957497580827,770.0645843821601
NGC,779,215.40263909881276,3.2959242544533844,0.1041745408972269,12.309728634687952,5700.064831661987,1769.058968279572
NGC,780,144.8340037371238,-1.3534571898231647,0.2130993261494747,20.50184151865349,14095.277178856928,678.3674665714859
NGC,781,110.31049102271109,35.8124891826376,0.18516817005793942,20.81736509856238,20008.576837189077,6778.456524300595
NGC,782,269.7066787288702,33.48342683874653,0.09669751179611913,13.091396297337871,6013.366412891173,1310.1437054321261
NGC,783,264.70350018434794,21.817077123986113,0.156717680476061,17.20868886988722,10984.440728730557,1330.9510347393214
NGC,784,115.29420265542268,27.173811440343655,0.10615402016883123,12.05140575383691,5577.775053099713,1955.22368715927
NGC,785,287.42813491220454,62.44098844086833,0.22867507485273952,25.099063102684347,32730.664876049923,12300.956416959767
NGC,786,244.71043617348963,10.247631455633458,0.21751227845180782,23.615607681797705,23329.18575543811,3647.6715144245463
NGC,787,252.66667108368227,2.364362724159736,0.23321083162170297,14.156123391319943,8368.205521754757,2483.2680963600365
NGC,788,131.6612875935161,4.270990369360197,0.2079283641382979,17.45645751030201,11056.87648243212,2588.268368476988
NGC,789,169.6722884808241,0.9275805845252826,0.21110005395534728,11.313353051491555,3152.139086738855,8.647249067616496
NGC,790,230.79642517174622,33.63928768213775,0.19998072303332412,16.077613742191016,7970.229940605032,578.7849180223283
NGC,791,206.80967724345618,3.6154052604881457,0.1976455564914293,10.884927037594975,3015.6542119923315,0.0
NGC,792,207.98279538558427,-1.1592723780794973,0.13466333667488897,15.425326269354203,8755.829082344222,1184.878378128944
NGC,793,224.92558699435574,-1.7357603817997622,0.1153766650233069,19.72874069694667,15141.778076691862,2862.8182790206856
NGC,794,230.82981474277915,2.6527170687386117,0.1349304092381465,21.37305897163233,15277.930856220231,928.4973681948993
NGC,795,236.23664079462878,6.5598313234288215,0.12725706154256042,15.409732211949178,8168.830300547431,996.722309141076
NGC,796,244.64690268039942,7.5520304251355075,0.22109169703496354,22.960996127859822,17196.014972190966,0.0
NGC,797,212.97104064855387,-3.2481523235468215,0.2090129684544431,21.32693866334494,18678.38098218314,4332.9298135405
NGC,798,116.08522325954496,24.187738282348885,0.12377138335242815,12.519737164010545,6685.51092660447,2430.9746982987053
NGC,799,246.19011053519722,0.650725102071881,0.2301220137767726,16.4846262622324,9149.787224797275,1499.307783897364
NGC,800,147.86439338972588,-6.163949222001372,0.14906733644235484,17.84223789159515,11567.847633963956,2306.9996562081956
NGC,801,240.66443045443668,11.046986698865386,0.19016296759138437,23.690729807688534,21488.469512754564,3296.494789565118
NGC,802,193.48975835465515,-2.782814045698758,0.23070285333276613,11.008275904603698,3795.078869319225,191.73185138229232
NGC,803,126.6698121271284,0.7534316842806763,0.16256295980432192,12.793391730425087,6870.764799833037,1288.9177884950507
NGC,804,214.9059532840286,45.97325378323343,0.22619426484812866,28.258779741730947,51387.94930932795,17158.605859478954
NGC,805,210.56513985953382,-1.0085484295184892,0.13849090077270296,19.333671436001797,14273.6255468951,1459.2061691600159
NGC,806,219.63303566154477,42.37314589780429,0.1566014160668965,12.706269996104044,4466.121459094574,165.91112142939969
NGC,807,204.82260660081914,0.8723817654780603,0.22529935899947448,15.138572066850214,6567.831117885136,0.0
NGC,808,239.11446594193285,2.706834170226382,0.21905030603337283,17.061955059928877,8383.420323482367,0.0
NGC,809,169.74104260732622,-2.129311496432428,0.23116356408347302,13.510874575136084,5887.386386356991,212.30617483765036
NGC,810,223.4690928246107,-1.9509871524821947,0.22270952727709342,11.705008257684769,3533.2203346433494,81.2416243213118
NGC,811,151.3588793541662,-6.991651169710332,0.21730823979169225,18.32041063263164,12939.099627503543,2163.9420850297934
NGC,812,129.4477283451263,-5.414616265739333,0.2348203304171572,13.153187203291747,7398.579735214783,2380.451326602063
NGC,813,121.39275958635056,10.023355039723779,0.16417238615227273,16.317385588865662,16609.470061632997,6521.940129897777
NGC,814,274.4694797716889,36.84005977490414,0.222282302777268,10.767849523214966,4210.18398789835,818.6652493955619
NGC,815,258.3634306252755,14.240155471076445,0.1596570198966703,15.971636630321902,9559.506208481886,1636.920511860126
NGC,816,265.8920232928314,29.525804212886165,0.1366283499539402,13.011980829287468,4994.710207471343,701.487987431173
NGC,817,217.9019003080852,2.1951714474932333,0.21220244292469606,12.2876828382571,5088.079478441498,557.686288174218
NGC,818,184.19117243840824,0.6838464561057104,0.20705516378923824,15.585300400175742,8547.766051197095,2003.84421557191
NGC,819,181.0838334627111,-1.2803726091132401,0.21865338010293478,16.432482795275888,10060.973234343342,1866.0951300048482
NGC,820,218.0487667878089,2.9271318155188424,0.22185179988638443,11.950964073413832,4894.966652644054,1021.54199628484
NGC,821,196.28696183135114,-0.08961462653804886,0.2300841085209063,20.669458806013722,14646.637925480058,899.5672703269707
NGC,822,128.72382155758345,1.8807153995637993,0.1566372288225732,13.221297616629114,4464.9667801361575,0.0
NGC,823,218.80699952057378,0.3414198129407418,0.20508309285087373,19.18406222185118,11128.162437980505,81.55358604968694
NGC,824,192.34649536092715,-1.8611885955341965,0.16617406425182388,14.462262011581839,8123.313726775997,1712.3809647769922
NGC,825,220.618043127302,-2.8458284810946703,0.2334219170813051,16.864989344764727,10737.016145878712,2784.8940331213807
NGC,826,195.8950698692683,-2.267682942594644,0.1890883164203475,16.416420225232446,8538.067309299966,0.0
NGC,827,115.41646433874583,24.456875559535728,0.15057441862895574,14.432872545573797,8578.728183737137,2157.435030148868
NGC,828,236.52034619992662,32.53833162456656,0.22389474199679968,16.762488780892603,10159.856835401593,1342.8507069868012
NGC,829,234.6026798626185,31.392119168933082,0.22952387528571594,12.535209706911138,5090.213871540104,1195.2796154770133
NGC,830,241.44362624693923,5.311212116952775,0.20743528961866486,11.98633840807141,3344.5774095478996,0.0
NGC,831,216.75296117736087,34.08910951824864,0.16437482023494182,21.678385948164653,20758.000168015842,5578.970868892619
NGC,832,226.3503054488485,-3.511231268986834,0.20009106683994865,17.41743362670971,11073.673603152187,1981.5340740980812
NGC,833,235.14403333179916,3.6561303601903745,0.0895487630230094,19.433344321016055,13390.455635093138,2167.5488895096646
NGC,834,171.26668621432265,-4.616032875739347,0.10943607383486216,15.874439987093064,9003.8383773033,1801.835513621818
NGC,835,110.7683508240605,34.719470708015066,0.19503639321999136,12.378640792997235,5369.31550600134,879.4432170433939
NGC,836,239.7085211614338,32.835930464450215,0.18638140335764122,10.740168543709931,3342.691963926394,676.4066830450121
NGC,837,173.5153899466456,-0.2500642803818403,0.13865679699583358,11.830149201180737,4177.472283650073,0.0
NGC,838,215.31793360148072,4.609641482598018,0.2345842402803295,12.123478497586637,4906.560099760594,1449.823345998998
NGC,839,234.60560761941417,7.17585131341849,0.20958364972184063,11.954968241344018,4888.731768900019,857.6223260747707
NGC,840,227.5834538007245,3.5882854603130125,0.23214518205252216,10.870775462264675,4456.924191133067,1061.0182334600304
NGC,841,241.57608999506596,11.934647824829439,0.14746661164260516,14.359633826143687,7201.213270441036,1290.3512976239479
NGC,842,130.59090063423022,3.225121613633456,0.10287686900446738,15.023394833232622,8804.031482985618,2048.895485461206
NGC,843,259.9015223301071,11.519482673814931,0.2179360012815607,13.001033090484427,5703.573549807182,895.1681509833884
NGC,844,216.4345229483823,45.78358518432116,0.16101208204289474,23.28732766623562,30513.161340273455,10797.31260477813
NGC,845,159.67619074643417,-9.068111349714595,0.21209030047821323,11.80610233769067,5896.675548787237,1409.6697432770034
NGC,846,197.0016767654187,-0.7977594324092214,0.10294418991977534,22.731973528073286,19074.197479451337,2946.3078671881713
NGC,847,253.24826890390193,9.954552588955483,0.17869564347982853,11.797057133311213,4884.220992020794,477.1741976741406
NGC,848,155.94421902815114,-1.1646266576587168,0.22151383498303814,11.950508905215797,4929.365469422885,666.9331166486651
NGC,849,123.0688536086533,8.773977528618872,0.14847566009567412,15.179448741088637,11962.875529509367,4449.656847486072
NGC,850,195.2676394290251,-7.1118788081526,0.17432662730409804,18.64881366943701,13131.160297873503,2951.93003040514
NGC,851,170.14884010790104,-0.3026129526100213,0.11858861557364409,18.066744979241125,10547.281257255112,870.2231005749302
NGC,852,195.69739361815223,-6.7290202880835475,0.14421114990444123,13.195883929645241,5828.042653019516,1314.5085907992213
NGC,853,232.17626757065568,36.59980155778469,0.18704058478620894,18.235570615120107,15957.288302527857,5041.563697608077
NGC,854,195.98643483569194,-0.4706202962287678,0.13674147142090737,15.304283823005013,7001.492456414218,491.1374020848549
NGC,855,161.2440375342226,-2.4711051513657774,0.10076054349174904,26.231302080335922,29435.596640382708,4815.994402921511
NGC,856,211.15913768293257,2.882709489493918,0.17544050865424052,12.496731151838087,5202.401467585808,340.9160682445417
NGC,857,193.51040444135216,-6.49823854446429,0.13859327811715974,17.01475847193539,10072.049638827042,1725.768307291907
NGC,858,198.53661986888005,-2.6281287814367564,0.2080992497411864,15.57332726882394,8012.9168883700595,171.34199228260175
NGC,859,193.8986671144198,-1.7247678368726584,0.17765969454534372,15.999522238884238,8289.572798617262,586.6122379852277
NGC,860,128.55570568271898,-3.7031380354697334,0.2334271350241492,10.325818658150013,3049.7025391700954,854.1420366340482
NGC,861,133.31559828972166,-6.3307627685598575,0.16758885296474402,12.189055398353354,4968.006792196763,925.3296335329097
NGC,862,244.32245902020685,1.7854433806712444,0.16032705883489404,12.801942227719191,4633.0950088104055,827.7259886216522
NGC,863,240.17140434081767,3.388945823765971,0.20823155662826748,15.94668803659205,7620.778743955804,0.0
NGC,864,223.1232190101382,43.153105920136035,0.18918693245023097,11.713855257615965,4086.5407479905575,981.082262673369
NGC,865,173.09415711803797,-1.0970060506875685,0.11083137811344912,19.39311725265762,12785.507960451567,910.1022318623413
NGC,866,215.8982714483261,5.804809040576687,0.22492459367596288,17.31794130764916,12169.842137298649,3736.6293458387036
NGC,867,127.66538651566933,-1.1776664829489103,0.17242384252124474,12.934714309846692,5793.693749666671,1065.2777830542807
NGC,868,225.46846948701568,-3.017456139035847,0.2279616920945096,27.429143913015558,35059.518928458136,8227.76625068582
NGC,869,190.3484147198136,-6.080075388547036,0.1270012036272683,15.760788153959142,10170.687593147693,2574.118435255293
NGC,870,246.90919892183427,5.485788481658346,0.22895234259726255,15.1169943972398,7133.802592829741,54.99631794811113
NGC,871,272.7417214203155,39.02311027234493,0.22971256374503451,13.623076842232015,5544.655199361223,325.64597142195316
NGC,872,269.3926216645356,31.82274865717247,0.06813637602616861,12.646823058250078,7546.140128513902,2631.6835562708834
NGC,873,110.61103583496656,33.0334010833797,0.19836744088689912,16.979925442331503,14471.01230799317,4338.955180092205
NGC,874,138.65097104434327,2.8086067476678176,0.21948274882311725,15.82123519082465,8919.34275196371,2110.0730261242716
NGC,875,115.61500698348496,24.11690304822532,0.13197074106751408,10.802449806723526,4807.406472098347,1459.8013010741001
NGC,876,194.6213265283768,4.735570630282552,0.19353488119946494,18.103041489695432,14503.163567923648,4151.471296661636
NGC,877,163.11252610167506,-7.9606706634105615,0.13671455615358113,11.961271124444421,6092.473579561405,1808.0059365786537
NGC,878,171.8033560449122,-5.677713588071704,0.14462665306732211,16.762690002146627,10987.7073775319,2611.2451123944156
NGC,879,225.79665454504038,34.892709126014346,0.11912838751630786,15.2051818365002,9183.196903890532,1974.5159335375395
NGC,880,172.4548241340249,-1.7057851363954866,0.08854069462496944,29.92525593603298,43906.074617585844,12473.177468279133
NGC,881,268.95774947758827,32.01774335051359,0.08572030652307994,26.37965318685779,43553.31103101236,16909.388461223964
