Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,
207,-1,-1,-1,278,281,-1,-1,314,434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
209,-1,-1,316,383,318,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,530,
210,100,-1,-1,-1,-1,-1,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
211,110,-1,161,195,-1,-1,137,-1,-1,300,436,361,-1,270,-1,-1,-1,-1,-1,
212,289,166,203,232,332,181,-1,-1,331,219,574,-1,-1,451,242,609,170,-1,181,
214,-1,120,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,183,-1,-1,-1,-1,
218,-1,-1,178,110,141,-1,249,479,-1,-1,-1,-1,-1,-1,441,-1,577,-1,-1,
220,366,225,157,230,210,571,407,-1,320,194,260,244,365,254,195,124,197,134,-1,
221,210,-1,-1,69,66,76,17,36,-1,37,69,75,-1,-1,-1,-1,70,-1,-1,
223,406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
224,333,788,-1,-1,487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
225,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
227,-1,261,-1,-1,278,355,253,-1,-1,-1,401,418,-1,725,-1,460,-1,-1,-1,
230,795,294,581,-1,-1,-1,-1,-1,-1,-1,-1,1052,-1,489,-1,-1,362,810,-1,
231,-1,-1,-1,-1,-1,30,27,41,-1,-1,287,-1,-1,-1,-1,-1,-1,-1,81,
232,229,436,232,-1,-1,-1,-1,-1,-1,-1,-1,-1,233,-1,-1,110,-1,183,-1,
233,162,554,-1,-1,-1,-1,-1,149,-1,-1,-1,-1,348,75,-1,-1,-1,-1,-1,
234,662,-1,472,509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
235,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
238,175,236,177,139,139,191,224,219,188,205,210,-1,-1,563,-1,362,344,-1,-1,
239,272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,700,557,-1,
240,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
241,244,670,249,-1,624,241,708,122,314,217,375,167,275,204,168,399,-1,379,-1,
242,-1,-1,-1,-1,330,-1,-1,-1,-1,-1,-1,153,141,-1,-1,-1,125,-1,105,
245,-1,361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
246,-1,-1,-1,-1,566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
247,165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,158,-1,-1,-1,-1,
249,-1,-1,-1,-1,379,-1,-1,-1,-1,-1,176,-1,-1,-1,-1,-1,-1,258,232,
250,-1,-1,-1,-1,-1,-1,-1,-1,-1,580,-1,-1,-1,-1,-1,349,285,264,115,
252,-1,990,561,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
255,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
257,615,-1,-1,-1,-1,985,-1,-1,-1,-1,-1,-1,-1,-1,-1,735,-1,-1,-1,
258,806,148,347,-1,-1,-1,-1,-1,-1,454,-1,-1,-1,-1,-1,-1,-1,-1,118,
259,-1,-1,-1,123,-1,96,179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
260,168,254,568,-1,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
261,324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
262,151,-1,-1,-1,-1,-1,-1,654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
265,779,-1,-1,469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,464,-1,-1,-1,-1,-1,-1,-1,
268,-1,-1,278,-1,857,365,751,-1,540,693,-1,-1,316,327,464,-1,-1,-1,880,
270,609,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,-1,-1,-1,-1,
272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,
274,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,85,-1,368,153,97,-1,-1,-1,-1,
276,292,367,246,633,561,698,468,509,319,-1,350,292,268,311,318,-1,208,278,230,
278,208,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
280,-1,846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,585,1012,1266,-1,-1,-1,-1,
281,417,271,362,555,461,407,304,313,-1,1063,1030,-1,-1,-1,-1,-1,-1,-1,-1,
282,539,-1,243,-1,-1,-1,-1,-1,361,90,161,83,89,105,154,106,-1,326,249,
283,199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
284,228,298,580,-1,-1,69,-1,-1,-1,132,-1,-1,160,56,-1,214,108,307,152,
285,664,-1,-1,965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,905,-1,
286,382,1141,-1,-1,704,-1,-1,-1,-1,749,-1,-1,-1,513,457,-1,-1,-1,-1,
287,150,-1,-1,-1,-1,656,-1,-1,-1,799,-1,-1,-1,-1,-1,-1,-1,-1,-1,
288,633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,623,-1,-1,-1,
290,407,258,-1,415,-1,946,-1,-1,-1,-1,-1,-1,-1,-1,-1,355,338,282,-1,
291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,767,-1,-1,-1,-1,-1,
292,-1,61,146,-1,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
298,219,500,263,423,688,336,339,390,339,-1,-1,-1,-1,-1,-1,451,-1,367,205,
301,288,190,192,290,365,133,125,190,260,163,168,129,119,209,116,148,155,411,-1,
303,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
304,441,-1,238,374,813,145,229,-1,-1,180,-1,390,191,-1,-1,-1,-1,-1,-1,
307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,150,749,-1,
308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,573,-1,-1,-1,-1,-1,
310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,523,-1,-1,-1,-1,-1,-1,-1,
311,201,69,-1,-1,57,-1,196,-1,-1,-1,235,-1,269,269,-1,393,-1,244,-1,
312,-1,-1,-1,-1,422,79,89,268,204,96,-1,241,179,176,137,-1,178,-1,-1,
313,671,529,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
314,-1,-1,-1,-1,-1,-1,-1,-1,-1,475,279,-1,-1,-1,-1,-1,-1,-1,-1,
318,281,-1,171,380,438,-1,-1,-1,165,-1,-1,-1,-1,151,115,186,166,-1,136,
319,-1,325,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
320,-1,-1,230,-1,-1,94,182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
322,-1,-1,-1,713,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,345,-1,-1,-1,-1,
-1,83,101,93,171,153,97,97,111,150,67,72,81,70,88,73,107,120,105,157,
324,839,-1,-1,-1,-1,516,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
325,590,-1,822,-1,-1,-1,918,1611,1221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,757,-1,-1,-1,
328,-1,-1,-1,578,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
329,-1,-1,829,381,767,485,335,192,-1,345,-1,457,174,244,334,-1,-1,-1,-1,
331,-1,-1,-1,-1,288,172,-1,243,147,-1,-1,-1,458,-1,-1,-1,-1,292,165,
333,-1,366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,409,-1,-1,-1,
334,-1,-1,-1,-1,-1,-1,-1,445,-1,-1,-1,-1,-1,-1,-1,423,-1,-1,-1,
335,789,-1,-1,-1,-1,-1,-1,-1,464,759,-1,-1,-1,-1,-1,-1,-1,-1,-1,
336,-1,-1,596,984,1203,1469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
338,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,108,-1,-1,-1,-1,-1,-1,-1,
339,913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
340,-1,68,-1,103,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,646,448,-1,-1,-1,-1,-1,
345,807,1307,1485,-1,-1,-1,-1,-1,640,1370,628,608,-1,-1,554,-1,-1,1293,-1,
-1,42,39,81,-1,80,-1,-1,-1,46,-1,80,54,26,70,57,27,-1,41,25,
349,231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
350,-1,-1,-1,-1,-1,-1,-1,-1,-1,663,556,351,505,655,-1,1223,649,906,393,
351,259,349,445,317,543,-1,-1,321,525,-1,331,-1,-1,-1,-1,-1,-1,-1,-1,
352,250,704,462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,188,335,-1,
353,396,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
354,-1,-1,-1,-1,-1,-1,-1,326,-1,285,-1,-1,-1,-1,-1,-1,-1,-1,-1,
