CID,IDSURVEY,zHD,RA_SN,DEC_SN,SRC_HEAD,HOST_RA,HOST_DEC
1249395,10,0.55513,41.475582,-1.550186,DES,41.47578,-1.5502559999999999
1249416,10,0.33169,40.912281,-1.748792,DES,40.912395000000004,-1.748804
1249483,10,0.28303,40.632134,-0.842623,DES,40.632172,-0.8426620000000001
1249758,10,0.62139,54.792175,-26.719948,DES,54.792232999999996,-26.719913000000002
1249851,10,0.21511,55.218029,-29.399984,DES,55.218509999999995,-29.400743
1249956,10,0.44628,6.984844,-42.443760,DES,6.984831,-42.443740999999996
1249970,10,0.26775,10.491207,-43.734085,DES,10.491352000000001,-43.734089000000004
1250017,10,0.18216,43.193733,-0.127481,DES,43.193951,-0.127654
1250034,10,0.16085,43.029656,-0.415255,DES,43.029522,-0.414962
1250120,10,0.69088,42.918236,-0.236987,DES,42.918289,-0.236999
1250275,10,0.38323,41.613308,-1.613983,DES,41.6134,-1.613912
1250279,10,0.27382,41.090176,-1.465227,DES,41.089642,-1.4660440000000001
1250357,10,0.35843,41.880974,-0.616630,DES,41.880802,-0.616166
1250397,10,0.64304,33.929680,-5.449767,DES,33.929947,-5.449883
1250435,10,0.49292,33.790329,-4.626687,DES,33.790543,-4.626537
1250454,10,0.78734,35.299789,-4.535570,DES,35.299831,-4.535553
1250532,10,0.52770,35.564694,-6.959802,DES,35.564728,-6.959774
1250578,10,0.27860,36.104046,-6.996462,DES,36.104099,-6.996303999999999
1250665,10,0.29461,36.713150,-4.498711,DES,36.7132,-4.498739
1250803,10,0.96329,52.946167,-27.847559,DES,52.946404,-27.84753
1250823,10,0.66487,52.689018,-27.561100,DES,52.689094999999995,-27.561094
1250852,10,0.77725,52.148945,-28.639742,DES,52.148983,-28.639776
1250858,10,0.85707,53.266316,-28.243347,DES,53.266315000000006,-28.243429
1250882,10,0.74658,52.342468,-27.732790,DES,52.342525,-27.732635
1250896,10,0.87971,37.018997,-4.910972,DES,37.018879,-4.910794
1250912,10,0.21898,36.689526,-3.992602,DES,36.689491,-3.9927910000000004
1250916,10,0.66948,37.153248,-4.299087,DES,37.153233,-4.299103
1250925,10,0.55146,37.094894,-4.009557,DES,37.095146,-4.009396
1250950,10,0.70099,36.955776,-4.624587,DES,36.955425,-4.624798
1250980,10,0.81967,35.794376,-4.459983,DES,35.794346000000004,-4.459955
1251022,10,0.68428,54.067162,-28.060537,DES,54.067398,-28.060661
1251114,10,0.62632,53.801479,-28.814411,DES,53.801533,-28.814411
1251126,10,0.59788,54.466965,-29.334354,DES,54.466609999999996,-29.334865999999998
1251225,10,0.43172,8.748535,-44.666557,DES,8.748244,-44.666492
1251390,10,0.43398,40.859295,-1.746916,DES,40.859383,-1.7468650000000001
1251436,10,0.57349,41.620407,-0.263056,DES,41.620773,-0.26299
1251536,10,0.52727,34.971920,-6.933254,DES,34.971424,-6.9334240000000005
1251552,10,0.35484,36.367436,-6.006840,DES,36.36768,-6.006832
1251600,10,0.55760,35.695145,-4.228140,DES,35.695175,-4.228191000000001
1251603,10,0.63033,35.795975,-4.214051,DES,35.796329,-4.213972
